Hospital Name,county,level,Address,Number of OB Beds,Total Births
AdventHealth Gordon,Gordon,,"1035 Red Bud Road NE, Calhoun, GA 30701",10,527
Archbold Grady Hospital,Grady,1,"1155 5th Street SE, Cairo, GA 39828",5,282
Archbold Memorial Hospital,Thomas,2,"Gordon Avenue at Mimosa Drive, Thomasville, GA 31792",11,554
Atrium Health Floyd Medical Center,Floyd,,"304 Turner McCall Boulevard SW, Rome, GA 30165",24,"2,184"
Atrium Health Navicent Baldwin,Baldwin,,"821 North Cobb Street, Milledgeville, GA 31061",24,494
Atrium Health Navicent The Medical Center,Bibb,,"777 Hemlock Street, Macon, GA 31201",48,"3,023"
Bacon County Hospital and Health System,Bacon,,"302 S. Wayne Street, Alma, GA 31510",2,156
Candler Hospital,Chatham,,"5353 Reynolds Street, Savannah, GA 31405",42,"2,699"
Coffee Regional Medical Center,Coffee,1,"1101 Ocilla Road, Douglas, GA 31534",6,721
Colquitt Regional Medical Center,Colquitt,2,"3131 South Main Street, Moultrie, GA 31768",10,704
Crisp Regional Hospital,Crisp,2,"902 North 7th Street, Cordele, GA 31015",8,260
Doctors Hospital of Augusta,Richmond,,"3651 Wheeler Road, Augusta, GA 30909",29,"1,981"
"Donalsonville Hospital, Inc.",Seminole,,"102 Hospital Circle, Donalsonville, GA 39845",4,70
East Georgia Regional Medical Center,Bulloch,,"1499 Fair Road, Statesboro, GA 30458",21,"1,493"
Emory Decatur Hospital,DeKalb,1,"2701 N. Decatur Road, Decatur, GA 30033",62,"3,287"
Emory Johns Creek Hospital,Fulton,1,"6325 Hospital Parkway, Johns Creek, GA 30097",11,"1,509"
Emory University Hospital Midtown,Fulton,1,"550 Peachtree Street NE, Atlanta, GA 30308",62,"4,773"
Fairview Park Hospital,Laurens,,"200 Industrial Boulevard, Dublin, GA 31021",21,"1,013"
Grady Health System,Fulton,4,"80 Jesse Hill Jr. Drive SE, Atlanta, GA 30303",56,"3,240"
Hamilton Medical Center,Whitfield,,"1200 Memorial Drive, Dalton, GA 30720",28,"1,599"
Houston Healthcare,Houston,,"1601 Watson Boulevard, Warner Robins, GA 31093",20,"1,981"
Liberty Regional Medical Center,Liberty,,"462 E.G. Miles Parkway, Hinesville, GA 31313",4,2
Memorial Health Meadows Hospital,Toombs,4,"1 Meadows Parkway, Vidalia, GA 30474",5,710
Memorial Health University Medical Center,Chatham,4,"4700 Waters Avenue, Savannah, GA 31404",40,"3,495"
Memorial Hospital and Manor,Decatur,4,"1500 E. Shotwell Street, Bainbridge, GA 39819",8,392
Memorial Satilla Health,Ware,4,"1900 Tebeau Street, Waycross, GA 31501",13,465
Northeast Georgia Medical Center,Hall,,"743 Spring Street NE, Gainesville, GA 30501",65,"5,233"
Northeast Georgia Medical Center Habersham,Habersham,,"255 Historic Highway 441, Demorest, GA 30535",4,454
Northside Hospital,Fulton,4,"1000 Johnson Ferry Road NE, Atlanta, GA 30342",171,"16,264"
Northside Hospital Cherokee,Cherokee,3,"450 Northside Cherokee Boulevard, Canton, GA 30115",24,"2,825"
Northside Hospital Forsyth,Forsyth,3,"1200 Northside Forsyth Drive, Cumming, GA 30041",32,"3,883"
Northside Hospital Gwinnett,Gwinnett,4,"1000 Medical Center Boulevard, Lawrenceville, GA 30046",34,"4,033"
Phoebe Putney Memorial Hospital,Dougherty,3,"417 W. 3rd Avenue, Albany, GA 31701",29,"1,972"
Phoebe Sumter Medical Center,Sumter,3,"126 HWY 280 W, Americus, GA 31719",10,462
Piedmont Athens Regional Medical Center,Clarke,4,"1199 Prince Avenue, Athens, GA 30606",32,"2,935"
Piedmont Augusta Hospital,Richmond,4,"1350 Walton Way, Augusta, GA 30901",50,"2,921"
Piedmont Cartersville Medical Center,Bartow,4,"960 Joe Frank Harris Pkwy, Cartersville, GA 30120",10,783
Piedmont Columbus Regional Midtown,Muscogee,4,"710 Center Street, Columbus, GA 31901",71,"2,772"
Piedmont Eastside Medical Center,Gwinnett,4,"1700 Medical Way, Snellville, GA 30078",25,"1,327"
Piedmont Fayette Hospital,Fayette,4,"1255 Highway 54 West, Fayetteville, GA 30214",12,"2,492"
Piedmont Henry Hospital,Henry,4,"1133 Eagles Boulevard, Stockbridge, GA 30281",18,"2,267"
Piedmont Hospital,Fulton,4,"1968 Peachtree Road NW, Atlanta, GA 30309",39,"3,136"
Piedmont Macon Medical Center,Bibb,4,"3990 Arkwright Road, Macon, GA 31210",25,752
Piedmont Mountainside Medical Center,Pickens,4,"1266 Highway 515 South, Jasper, GA 30143",4,201
Piedmont Newnan Hospital,Coweta,4,"60 Hospital Road, Newnan, GA 30263",18,"1,604"
Piedmont Newton Hospital,Newton,4,"5126 Hospital Drive NE, Covington, GA 30014",14,747
Piedmont Rockdale Hospital,Rockdale,4,"1412 Milstead Avenue NE, Conyers, GA 30012",11,"1,690"
Piedmont Walton Hospital,Walton,4,"2151 W. Spring Street, Monroe, GA 30655",7,458
SGMC Health,Lowndes,,"2501 N. Patterson Street, Valdosta, GA 31602",28,"1,937"
Southeast Georgia Health System - Brunswick,Glynn,,"2415 Parkwood Drive, Brunswick, GA 31520",24,"1,231"
Southeast Georgia Health System - Camden,Camden,,"2000 Dan Proctor Drive, St. Marys, GA 31558",11,625
Southern Regional Medical Center,Clayton,,"11 Upper Riverdale Road SW, Riverdale, GA 30274",14,"1,518"
St Mary's Hospital,Clarke,4,"1230 Baxter Street, Athens, GA 30606",22,"1,369"
St. Francis-Emory Healthcare,Muscogee,4,"2122 Manchester Expressway, Columbus, GA 31904",31,"1,234"
St. Mary's Sacred Heart Hospital,Franklin,4,"4401 Lakeside Drive, Lavonia, GA 30553",6,293
Tift Regional Medical Center,Tift,2,"901 East 18th Street, Tifton, GA 31794",26,"1,449"
Union General Hospital,Union,1,"35 Hospital Road, Blairsville, GA 30512",4,0
Upson Regional Medical Center,Upson,2,"801 W. Gordon Street, Thomaston, GA 30286",10,2
