county,state,current_ob_beds,beds_required_for_low_risk,additional_beds_needed,already_low_risk
Walker,GA,0,71,71,FALSE
Catoosa,GA,0,60,60,FALSE
Clay,GA,0,48,48,FALSE
Echols,GA,0,42,42,FALSE
Calhoun,GA,0,32,32,FALSE
Hancock,GA,0,30,30,FALSE
Columbia,GA,0,28,28,FALSE
Warren,GA,0,25,25,FALSE
Paulding,GA,0,22,22,FALSE
Carroll,GA,0,20,20,FALSE
Wheeler,GA,0,17,17,FALSE
Taylor,GA,0,15,15,FALSE
Effingham,GA,0,15,15,FALSE
Schley,GA,0,14,14,FALSE
Dade,GA,0,13,13,FALSE
Murray,GA,0,11,11,FALSE
Barrow,GA,0,10,10,FALSE
Polk,GA,0,10,10,FALSE
Chattooga,GA,0,9,9,FALSE
Jackson,GA,0,8,8,FALSE
Bryan,GA,0,7,7,FALSE
Clayton,GA,14,92,78,FALSE
Gilmer,GA,0,7,7,FALSE
McDuffie,GA,0,6,6,FALSE
Hart,GA,0,6,6,FALSE
Long,GA,0,6,6,FALSE
Charlton,GA,0,5,5,FALSE
Mitchell,GA,0,5,5,FALSE
Brooks,GA,0,5,5,FALSE
Early,GA,0,5,5,FALSE
Lee,GA,0,5,5,FALSE
Burke,GA,0,5,5,FALSE
Harris,GA,0,5,5,FALSE
Haralson,GA,0,5,5,FALSE
Liberty,GA,4,16,12,FALSE
Miller,GA,0,4,4,FALSE
Stephens,GA,0,4,4,FALSE
Cook,GA,0,4,4,FALSE
Jefferson,GA,0,4,4,FALSE
Berrien,GA,0,4,4,FALSE
Pierce,GA,0,4,4,FALSE
Butts,GA,0,4,4,FALSE
Putnam,GA,0,4,4,FALSE
Henry,GA,18,55,37,FALSE
Lincoln,GA,0,4,4,FALSE
Appling,GA,0,3,3,FALSE
Madison,GA,0,3,3,FALSE
DeKalb,GA,62,165,103,FALSE
Ben Hill,GA,0,3,3,FALSE
Worth,GA,0,3,3,FALSE
Camden,GA,11,28,17,FALSE
Peach,GA,0,3,3,FALSE
Gwinnett,GA,59,145,86,FALSE
Marion,GA,0,3,3,FALSE
Towns,GA,0,3,3,FALSE
Emanuel,GA,0,3,3,FALSE
Douglas,GA,10,24,14,FALSE
Meriwether,GA,0,3,3,FALSE
Tattnall,GA,0,3,3,FALSE
Dawson,GA,0,3,3,FALSE
Jeff Davis,GA,0,3,3,FALSE
Lamar,GA,0,3,3,FALSE
Brantley,GA,0,3,3,FALSE
Jenkins,GA,0,3,3,FALSE
Elbert,GA,0,2,2,FALSE
Monroe,GA,0,2,2,FALSE
Banks,GA,0,2,2,FALSE
Washington,GA,0,2,2,FALSE
Oglethorpe,GA,0,2,2,FALSE
Lanier,GA,0,2,2,FALSE
Bartow,GA,10,18,8,FALSE
Evans,GA,0,2,2,FALSE
Cherokee,GA,24,41,17,FALSE
Jones,GA,0,2,2,FALSE
Oconee,GA,0,2,2,FALSE
Lumpkin,GA,0,2,2,FALSE
Grady,GA,5,8,3,FALSE
Dooly,GA,0,2,2,FALSE
Wilkes,GA,0,2,2,FALSE
Screven,GA,0,2,2,FALSE
Rockdale,GA,11,16,5,FALSE
White,GA,0,2,2,FALSE
Pike,GA,0,2,2,FALSE
Wilcox,GA,0,2,2,FALSE
Wilkinson,GA,0,2,2,FALSE
McIntosh,GA,0,2,2,FALSE
Terrell,GA,0,2,2,FALSE
Cobb,GA,97,121,24,FALSE
Chattahoochee,GA,0,2,2,FALSE
Habersham,GA,4,5,1,FALSE
Candler,GA,0,2,2,FALSE
Colquitt,GA,10,13,3,FALSE
Twiggs,GA,0,2,2,FALSE
Walton,GA,7,9,2,FALSE
Bleckley,GA,0,2,2,FALSE
Johnson,GA,0,2,2,FALSE
Whitfield,GA,28,33,5,FALSE
Rabun,GA,0,2,2,FALSE
Clinch,GA,0,2,2,FALSE
Macon,GA,0,2,2,FALSE
Newton,GA,14,16,2,FALSE
Randolph,GA,0,2,2,FALSE
Morgan,GA,0,2,2,FALSE
Atkinson,GA,0,2,2,FALSE
Bacon,GA,2,3,1,FALSE
Gordon,GA,10,11,1,FALSE
Crawford,GA,0,2,2,FALSE
Chatham,GA,82,86,4,FALSE
Turner,GA,0,2,2,FALSE
Fannin,GA,0,2,2,FALSE
Houston,GA,20,21,1,FALSE
Decatur,GA,8,9,1,FALSE
Dodge,GA,0,1,1,TRUE
Thomas,GA,11,11,0,TRUE
Greene,GA,0,1,1,TRUE
Troup,GA,16,16,0,TRUE
Seminole,GA,4,4,0,TRUE
Heard,GA,0,1,1,TRUE
Lowndes,GA,28,28,0,TRUE
Telfair,GA,0,1,1,TRUE
Jasper,GA,0,1,1,TRUE
Pulaski,GA,0,1,1,TRUE
Coweta,GA,18,18,0,TRUE
Irwin,GA,0,1,1,TRUE
Fayette,GA,12,12,0,TRUE
Floyd,GA,24,24,0,TRUE
Hall,GA,65,65,0,TRUE
Pickens,GA,4,4,0,TRUE
Richmond,GA,101,101,0,TRUE
Franklin,GA,6,6,0,TRUE
Toombs,GA,5,5,0,TRUE
Union,GA,4,4,0,TRUE
Spalding,GA,20,20,0,TRUE
Forsyth,GA,32,32,0,TRUE
Fulton,GA,365,365,0,TRUE
Coffee,GA,6,6,0,TRUE
Sumter,GA,10,10,0,TRUE
Dougherty,GA,29,29,0,TRUE
Glynn,GA,24,24,0,TRUE
Bulloch,GA,21,21,0,TRUE
Ware,GA,13,13,0,TRUE
Wayne,GA,12,12,0,TRUE
Tift,GA,26,26,0,TRUE
Muscogee,GA,102,102,0,TRUE
Bibb,GA,73,73,0,TRUE
Laurens,GA,21,21,0,TRUE
Upson,GA,10,10,0,TRUE
Baldwin,GA,24,24,0,TRUE
Crisp,GA,8,8,0,TRUE
Clarke,GA,54,54,0,TRUE
