Hospital Name,County,Hospital Bed Size,OB Beds,Total Births
Bacon County Hospital and Health System,Bacon,0-49,2,156
Atrium Health Navicent Baldwin,Baldwin,100-149,24,494
Piedmont Cartersville Medical Center,Bartow,100-149,10,783
Atrium Health Navicent The Medical Center,Bibb,200+,48,"3,023"
Piedmont Macon Medical Center,Bibb,200+,25,752
East Georgia Regional Medical Center,Bulloch,150-199,21,"1,493"
Southeast Georgia Health System - Camden,Camden,0-49,11,625
Candler Hospital,Chatham,200+,42,"2,699"
Memorial Health University Medical Center,Chatham,200+,40,"3,495"
Northside Hospital Cherokee,Cherokee,200+,24,"2,825"
Piedmont Athens Regional Medical Center,Clarke,200+,32,"2,935"
St Mary's Hospital,Clarke,150-199,22,"1,369"
Southern Regional Medical Center,Clayton,200+,14,"1,518"
Wellstar Cobb Medical Center,Cobb,200+,44,"2,840"
Wellstar Kennestone Regional Medical Center,Cobb,200+,53,"6,153"
Coffee Regional Medical Center,Coffee,50-99,6,721
Colquitt Regional Medical Center,Colquitt,150-199,10,704
Piedmont Newnan Hospital,Coweta,200+,18,"1,604"
Crisp Regional Hospital,Crisp,50-99,8,260
Emory Decatur Hospital,DeKalb,200+,62,"3,287"
Memorial Hospital and Manor,Decatur,50-99,8,392
Phoebe Putney Memorial Hospital,Dougherty,200+,29,"1,972"
Wellstar Douglas Medical Center,Douglas,100-149,10,613
Piedmont Fayette Hospital,Fayette,200+,12,"2,492"
Atrium Health Floyd Medical Center,Floyd,200+,24,"2,184"
Northside Hospital Forsyth,Forsyth,200+,32,"3,883"
St. Mary's Sacred Heart Hospital,Franklin,50-99,6,293
Emory Johns Creek Hospital,Fulton,150-199,11,"1,509"
Emory University Hospital Midtown,Fulton,200+,62,"4,773"
Grady Health System,Fulton,200+,56,"3,240"
Northside Hospital,Fulton,200+,171,"16,264"
Piedmont Hospital,Fulton,200+,39,"3,136"
Wellstar North Fulton Medical Center,Fulton,200+,26,"1,344"
Southeast Georgia Health System - Brunswick,Glynn,200+,24,"1,231"
AdventHealth Gordon,Gordon,50-99,10,527
Archbold Grady Hospital,Grady,50-99,5,282
Northside Hospital Gwinnett,Gwinnett,200+,34,"4,033"
Piedmont Eastside Medical Center,Gwinnett,200+,25,"1,327"
Northeast Georgia Medical Center Habersham,Habersham,50-99,4,454
Northeast Georgia Medical Center,Hall,200+,65,"5,233"
Piedmont Henry Hospital,Henry,200+,18,"2,267"
Houston Healthcare,Houston,200+,20,"1,981"
Fairview Park Hospital,Laurens,150-199,21,"1,013"
Liberty Regional Medical Center,Liberty,0-49,4,2
SGMC Health,Lowndes,200+,28,"1,937"
Piedmont Columbus Regional Midtown,Muscogee,200+,71,"2,772"
St. Francis-Emory Healthcare,Muscogee,200+,31,"1,234"
Piedmont Newton Hospital,Newton,100-149,14,747
Piedmont Mountainside Medical Center,Pickens,50-99,4,201
Doctors Hospital of Augusta,Richmond,200+,29,"1,981"
Piedmont Augusta Hospital,Richmond,200+,50,"2,921"
Wellstar MCG Health,Richmond,200+,22,"1,638"
Piedmont Rockdale Hospital,Rockdale,150-199,11,"1,690"
"Donalsonville Hospital, Inc.",Seminole,50-99,4,70
Wellstar Spalding Medical Center,Spalding,150-199,20,923
Phoebe Sumter Medical Center,Sumter,100-149,10,462
Archbold Memorial Hospital,Thomas,200+,11,554
Tift Regional Medical Center,Tift,200+,26,"1,449"
Memorial Health Meadows Hospital,Toombs,50-99,5,710
Wellstar West Georgia Medical Center,Troup,200+,16,850
Union General Hospital,Union,0-49,4,0
Upson Regional Medical Center,Upson,100-149,10,2
Piedmont Walton Hospital,Walton,50-99,7,458
Memorial Satilla Health,Ware,200+,13,465
Wayne Memorial Hospital,Wayne,50-99,12,600
Hamilton Medical Center,Whitfield,200+,28,"1,599"
