county,pct_late_no_prenatal_care,pct_births_in_state,state,ob_beds,level,avg_distance_miles,fips,risk_factor
Walker,91,0.6,GA,1,Very High,19.43,,54.6
Catoosa,92.3,0.5,GA,1,Very High,10.95,,46.15
Clay,36.4,1,GA,1,Very High,43.27,,36.4
Echols,31.8,1,GA,1,Very High,22.88,,31.8
Calhoun,24.4,1,GA,1,Very High,27.25,,24.4
Hancock,22.8,1,GA,1,Very High,19.41,,22.8
Columbia,15,1.4,GA,1,Very High,9.84,,21
Warren,18.6,1,GA,1,Very High,34.88,,18.6
Paulding,9.6,1.7,GA,1,Very High,14.26,,16.32
Carroll,12.5,1.2,GA,1,Very High,19.92,,15
Wheeler,12.5,1,GA,1,Very High,25.05,,12.5
Taylor,11.3,1,GA,1,Very High,23.02,,11.3
Effingham,15.6,0.7,GA,1,Very High,25.74,,10.92
Schley,10.4,1,GA,1,Very High,13.02,,10.4
Dade,96.1,0.1,GA,1,Very High,29.88,,9.61
Murray,20.6,0.4,GA,1,Very High,14.15,,8.24
Barrow,7.6,1,GA,1,Very High,13.2,,7.6
Polk,14.2,0.5,GA,1,Very High,17.24,,7.1
Chattooga,30.9,0.2,GA,1,Very High,17.22,,6.18
Jackson,6,0.9,GA,1,Very High,15.34,,5.4
Bryan,12.7,0.4,GA,1,Very High,15.34,,5.08
Clayton,24.4,2.9,GA,14,Very High,4.42,,5.054
Gilmer,16.7,0.3,GA,1,Very High,15.39,,5.01
McDuffie,22.6,0.2,GA,1,Very High,22.5,,4.52
Hart,20.6,0.2,GA,1,Very High,12.43,,4.12
Long,13.4,0.3,GA,1,Very High,10.17,,4.02
Charlton,37.6,0.1,GA,1,Very High,27.49,,3.76
Mitchell,18.1,0.2,GA,1,Very High,22.74,,3.62
Brooks,17.8,0.2,GA,1,Very High,19.67,,3.56
Early,35.6,0.1,GA,1,Very High,27.27,,3.56
Lee,11.2,0.3,GA,1,Very High,11.9,,3.36
Burke,16.7,0.2,GA,1,Very High,24.49,,3.34
Harris,10.5,0.3,GA,1,Very High,16.98,,3.15
Haralson,10.3,0.3,GA,1,Very High,25.83,,3.09
Liberty,11.9,1,GA,4,Very High,7.38,,2.975
Miller,29.2,0.1,GA,1,Very High,16.55,,2.92
Stephens,14.4,0.2,GA,1,Very High,12.15,,2.88
Cook,14.3,0.2,GA,1,Very High,20.62,,2.86
Jefferson,26.9,0.1,GA,1,High,31.13,,2.69
Berrien,13.2,0.2,GA,1,High,20.76,,2.64
Pierce,13,0.2,GA,1,High,10.55,,2.6
Butts,12.6,0.2,GA,1,High,18.73,,2.52
Putnam,12.1,0.2,GA,1,High,16.9,,2.42
Henry,20,2.1,GA,18,High,6.63,,2.333
Lincoln,23.2,0.1,GA,1,High,29.2,,2.32
Appling,11.3,0.2,GA,1,High,17.48,,2.26
Madison,7,0.3,GA,1,High,17.13,,2.1
DeKalb,16.5,7.7,GA,62,High,4.32,,2.049
Ben Hill,9.9,0.2,GA,1,High,24.25,,1.98
Worth,9.8,0.2,GA,1,High,17.5,,1.96
Camden,35.9,0.6,GA,11,High,10.27,,1.958
Peach,9.6,0.2,GA,1,High,13.36,,1.92
Gwinnett,12.1,9.2,GA,59,High,0.53,,1.887
Marion,18.8,0.1,GA,1,High,21.05,,1.88
Towns,18.2,0.1,GA,1,High,22.33,,1.82
Emanuel,9.1,0.2,GA,1,High,33.04,,1.82
Douglas,13.7,1.3,GA,10,High,0,,1.781
Meriwether,8.5,0.2,GA,1,High,22.1,,1.7
Tattnall,8.3,0.2,GA,1,High,17.5,,1.66
Dawson,5.5,0.3,GA,1,High,15.84,,1.65
Jeff Davis,8,0.2,GA,1,High,20.52,,1.6
Lamar,7.9,0.2,GA,1,High,15.43,,1.58
Brantley,7.8,0.2,GA,1,High,21.05,,1.56
Jenkins,15.6,0.1,GA,1,High,27.48,,1.56
Elbert,7.7,0.2,GA,1,High,27.71,,1.54
Monroe,7.3,0.2,GA,1,High,18.65,,1.46
Banks,7,0.2,GA,1,High,18.4,,1.4
Washington,13.9,0.1,GA,1,High,29.64,,1.39
Oglethorpe,6.8,0.2,GA,1,High,18.03,,1.36
